"","CompGroup.x.","BaseGroup.Y.","NumSamplesInCompGrp","NumSamplesInBaseGrp","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanX","MeanY","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"227334_at|USP54","EGradeIII-IV","EGradeI-II",16,6,1.64708272997119,3.20579771705323,19.6107168290376,0.00451803268483911,0.250879820057208,1.18894622160946,6.0302921875,5.31037916666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"234367_x_at|TMPRSS6","EGradeIII-IV","EGradeI-II",16,6,-1.50715878314911,-3.30061424229862,15.9540231821332,0.00452786789294224,-0.972039577910717,-0.211623255422616,5.75920175,6.35103316666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"205343_at|SULT1C2","EGradeIII-IV","EGradeI-II",16,6,2.08521687085467,3.20321944895046,18.5015304945275,0.00479936934927927,0.366185637087709,1.75420923791229,5.2342554375,4.174058,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"244881_at|LMLN","EGradeIII-IV","EGradeI-II",16,6,1.51182591119669,3.19242833434508,18.0766378500436,0.00502531877669596,0.20399427114354,0.988589770523127,6.5802751875,5.98398316666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"220062_s_at|MAGEC2","EGradeIII-IV","EGradeI-II",16,6,3.56894509830779,3.23044582430216,16.5959353928934,0.00503703254521511,0.634500479592619,3.03649493707405,6.084142875,4.24864516666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"238010_at|C1orf174","EGradeIII-IV","EGradeI-II",16,6,1.70421438463803,3.28018195461164,14.8577752967408,0.00511486916250829,0.268927199072238,1.26928646759443,4.938882,4.16977516666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"218244_at|NOL8","EGradeIII-IV","EGradeI-II",16,6,1.50775480548521,3.48726265621537,10.3338980449198,0.00557099990644701,0.215545988620751,0.969257678045916,7.308484,6.71608216666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"215785_s_at|CYFIP2","EGradeIII-IV","EGradeI-II",16,6,-2.29604416968329,-3.17775340222669,15.4850085117632,0.00604110458178602,-2.00128113153599,-0.397019660130675,7.0728819375,8.27203233333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1557895_at|LINC02076","EGradeIII-IV","EGradeI-II",16,6,1.75157398940806,3.09379782203675,18.3547146826222,0.00615774601643154,0.260275985499156,1.35702787704689,5.66883744245141,4.86018551117838,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"227241_at|MUC15","EGradeIII-IV","EGradeI-II",16,6,2.22517533750211,3.12387731259627,16.5670765493248,0.00633098619155057,0.373026767953307,1.93481127371336,3.9921021875,2.83818316666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
